Employee #,Last Name,First Name,Birthday,Address,Phone Number,SSS #,Philhealth #,TIN #,Pag-ibig #,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate
10001,Garcia,Manuel III,10/11/1983,Valero Carpark Building Valero Street 1227  Makati City,966-860-270,44-4506057-3,820126853951,442-605-657-000,691295330870,Regular,Chief Executive Officer,N/A,90000.0,1500.0,2000.0,1000.0,45000.0,535.71
10002,Lim,Antonio,06/19/1988,San Antonio De Padua 2  Block 1 Lot 8 and 2  Dasmarinas  Cavite,171-867-411,52-2061274-9,331735646338,683-102-776-000,663904995411,Regular,Chief Operating Officer,Garcia  Manuel III,60000.0,1500.0,2000.0,1000.0,30000.0,357.14
10003,Aquino,Bianca Sofia,08/04/1989,Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100  Quezon City,966-889-370,30-8870406-2,177451189665,971-711-280-000,171519773969,Regular,Chief Finance Officer,Garcia  Manuel III,60000.0,1500.0,2000.0,1000.0,30000.0,357.14
10004,Reyes,Isabella,06/16/1994,460 Solanda Street Intramuros 1000  Manila,786-868-477,40-2511815-0,341911411254,876-809-437-000,416946776041,Regular,Chief Marketing Officer,Garcia  Manuel III,60000.0,1500.0,2000.0,1000.0,30000.0,357.14
10005,Hernandez,Eduard,09/23/1989,National Highway  Gingoog   Misamis Occidental,088-861-012,50-5577638-1,957436191812,031-702-374-000,952347222457,Regular,IT Operations and Systems,Lim  Antonio,52670.0,1500.0,1000.0,1000.0,26335.0,313.51
10006,Santos,Clarence Joy,03/12/1992,Blk 5 Lot 8 Greenfields Subdivision Calamba Laguna,917-234-889,21-8896541-7,881734559912,552-198-334-000,774512369884,Regular,HR Manager,Lim Antonio,45000.0,1500.0,1000.0,1000.0,22500.0,267.86
10007,Dela Cruz,Marco Antonio,11/28/1995,Unit 3B Sunrise Apartments Ortigas Pasig City,905-772-441,34-7712904-6,664112890337,221-884-199-000,338997551120,Regular,Payroll Officer,Santos Clarence Joy,32000.0,1500.0,1000.0,1000.0,16000.0,190.48
10008,Bautista,Angela Mae,01/17/1997,Phase 2 Block 6 Lot 14 San Jose Del Monte Bulacan,918-553-912,19-6658041-2,777239991044,119-884-665-000,998441237665,Regular,Accounting Staff,Aquino Bianca Sofia,30000.0,1500.0,1000.0,1000.0,15000.0,178.57
10009,Ramos,Joshua,07/09/1993,Lot 7 Blk 9 Mabuhay Homes Antipolo Rizal,927-112-488,28-1198752-4,448331200881,884-550-911-000,556441209887,Regular,IT Support,Hernandez Eduard,28000.0,1500.0,1000.0,1000.0,14000.0,166.67
10010,Navarro,Patricia Anne,02/25/1996,Unit 5A Pearl Residences Shaw Boulevard Mandaluyong,916-390-774,37-9021186-5,992118446633,660-998-772-000,441288773310,Regular,Marketing Associate,Reyes Isabella,28000.0,1500.0,1000.0,1000.0,14000.0,166.67
