Username,Password,Role,Employee #
admin,admin123,ADMIN,
hr1,hr123,HR,
fin01,pass123,FINANCE,
it01,pass123,IT,
emp10001,pass123,EMPLOYEE,10001
emp10002,pass123,EMPLOYEE,10002
emp10003,pass123,EMPLOYEE,10003
emp10004,pass123,EMPLOYEE,10004
emp10005,pass123,EMPLOYEE,10005
emp10006,pass123,EMPLOYEE,10006
emp10007,pass123,EMPLOYEE,10007
emp10008,pass123,EMPLOYEE,10008
emp10009,pass123,EMPLOYEE,10009
emp10010,pass123,EMPLOYEE,10010
emp10011,pass123,EMPLOYEE,10011
emp10012,pass123,EMPLOYEE,10012
emp10013,pass123,EMPLOYEE,10013
emp10014,pass123,EMPLOYEE,10014
emp10015,pass123,EMPLOYEE,10015
emp10016,pass123,EMPLOYEE,10016
emp10017,pass123,EMPLOYEE,10017
emp10018,pass123,EMPLOYEE,10018
emp10019,pass123,EMPLOYEE,10019
emp10020,pass123,EMPLOYEE,10020
emp10021,pass123,EMPLOYEE,10021
emp10022,pass123,EMPLOYEE,10022
emp10023,pass123,EMPLOYEE,10023
emp10024,pass123,EMPLOYEE,10024
emp10025,pass123,EMPLOYEE,10025
emp10026,pass123,EMPLOYEE,10026
emp10027,pass123,EMPLOYEE,10027
emp10028,pass123,EMPLOYEE,10028
emp10029,pass123,EMPLOYEE,10029
emp10030,pass123,EMPLOYEE,10030
emp10031,pass123,EMPLOYEE,10031
emp10032,pass123,EMPLOYEE,10032
emp10033,pass123,EMPLOYEE,10033
emp10034,pass123,EMPLOYEE,10034
